ResponseDate,CompletionDate,Q1_PropertyType,Q2_LastContact,Q3_RateQuality_City staff treated me fairly and with respect.,Q3_RateQuality_City staff were knowledgeable.,Q3_RateQuality_City staff went the extra mile to make sure I got what I needed.,Q3_RateQuality_I received a response to my inquiry in a timely manner.,Q3_RateQuality_The response I received provided me with the information I required.,"Q3_RateQuality_Overall, I was satisfied with the quality of customer service I received.",Q4a_Experience,OSType,DeviceType,BrowserType,Q3_Own_Rent (Study: Profiling Questionnaire 2014),GENDER (Study: Profiling Questionnaire 2014),Q7_Children (Study: Profiling Questionnaire 2014),Q8_Born_Canada (Study: Profiling Questionnaire 2014),Q9a_Edmonton (Study: Profiling Questionnaire 2014),Q10_Own_Business (Study: Profiling Questionnaire 2014),Q11_Home_Language (Study: Profiling Questionnaire 2014),Q12_Employment_Status (Study: Profiling Questionnaire 2014),Q13_Volunteer (Study: Profiling Questionnaire 2014),Q14a_Primary_Transportation (Study: Profiling Questionnaire 2014),Q14b_Secondary_Transportation (Study: Profiling Questionnaire 2014),Q15_Household_Income (Study: Profiling Questionnaire 2014),Q16_Education (Study: Profiling Questionnaire 2014),Q17_City_Employee (Study: Profiling Questionnaire 2014),FSA (Study: Profiling Questionnaire 2014),Age_Rollup_Detailed (Study: Profiling Questionnaire 2014)
02/12/2015 09:02:00 AM,02/12/2015 09:30:00 AM,Residential property,Within the last 3 months,5 Strongly Agree,3 Neither,3 Neither,2 Somewhat Disagree,2 Somewhat Disagree,3 Neither,Negative,Windows,Desktop,Google Chrome,Own,Male,No,No,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Bicycle,Car/truck/Van as DRIVER,"$80,000 to $99,999",Post-graduate degree,Yes,T6E,45-49
02/12/2015 10:05:00 AM,02/12/2015 10:10:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Bicycle,Car/truck/Van as DRIVER,"$150,000 and over",Post-graduate degree,Yes,T5M,35-39
02/12/2015 02:19:00 PM,02/12/2015 03:36:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$80,000 to $99,999",University undergraduate degree,Yes,T5E,50-54
02/17/2015 09:59:00 AM,02/17/2015 10:05:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Public Transit,"$100,000 to $149,000",University undergraduate degree,Yes,T5E,30-34
02/11/2015 09:14:00 AM,02/11/2015 09:27:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Car/truck/Van as DRIVER,"$100,000 to $149,000",University undergraduate degree,Yes,T6T,60-64
02/13/2015 12:16:00 AM,02/13/2015 12:21:00 AM,I don’t own property,,,,,,,,,Mac (OS X),Desktop,Google Chrome,Rent,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Car/truck/Van as DRIVER,"$60,000 to $79,999",University undergraduate degree,No,T5N,25-29
02/10/2015 04:16:00 PM,02/10/2015 04:43:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Car/truck/Van as DRIVER,Prefer not to answer,Post-graduate degree,Yes,T6E,30-34
02/10/2015 10:36:00 PM,02/10/2015 10:53:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,"$150,000 and over",University undergraduate degree,No,T6A,55-59
02/10/2015 04:01:00 PM,02/10/2015 04:06:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,Yes,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,Prefer not to answer,High school graduate,No,T6E,40-44
02/13/2015 01:16:00 PM,02/13/2015 01:36:00 PM,I don’t own property,,,,,,,,,iOS,Phone,Safari,Rent,Female,No,Yes,Between 3 to 5 years,No,French,Other (Specify),Yes,Public Transit,Walk,"$30,000 to $39,999",High school graduate,No,T5H,18-24
02/10/2015 06:24:00 PM,02/10/2015 06:34:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Firefox,Own,Male,No,Yes,Greater than 5 years,Yes,English,Employed part-time (0-30 hours a week),No,Car/truck/Van as DRIVER,Walk,"$100,000 to $149,000",High school graduate,No,T6H,60-64
02/11/2015 01:35:00 PM,02/11/2015 01:44:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Phone,Safari,Own,Female,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$100,000 to $149,000",University undergraduate degree,No,T6E,40-44
