ResponseDate,CompletionDate,Q1_Property,Q2_PropType,Q3_CityContact,Agreement_City staff treated me fairly and with respect.,Agreement_City staff were knowledgeable.,Agreement_City staff exceeded my expectations.,Agreement_City staff were responsive.,Agreement_I was able to get service without difficulty.,Agreement_I received a response to my inquiry in a timely manner.,Agreement_The response I received provided me with the information I required.,"Agreement_Overall, I was satisfied with the quality of customer service I received.",Timely,Timely_Other (please specify),Experience,Who,Q4_PropNotice,Q5_CommsAgreement_The City’s assessment team provides a valuable public service,Q5_CommsAgreement_The City’s assessment team does a good job assigning property values,Q5_CommsAgreement_The City’s assessment team is a good resource for property information,Q5_CommsAgreement_Property assessment notice is easy to understand,Q5_CommsAgreement_Property assessment notice clearly describes how to file a formal complaint or request a review,Q5_CommsAgreement_Property assessment notice clearly states how to contact the City,Q5_CommsAgreement_Property assessment notice provides all the information required,Q5_CommsAgreement_The assessed value of my property is fair,Q5_CommsAgreement_The assessed value of my property is accurate,Q5_CommsAgreement_The use of sale prices of similar properties to estimate property values is fair,"Q5_CommsAgreement_Overall, I’m satisfied with access to property assessment information",Q7_Online,Q8_OnlineAgreement_It was easy to find information on Edmonton.ca/assessment,Q8_OnlineAgreement_Edmonton.ca/assessment had the information I needed,Q8_OnlineAgreement_Edmonton.ca/assessment is easy to use,Q8_OnlineAgreement_Edmonton.ca/assessment is useful to me,Q10_Contact_Phone,Q10_Contact_Email,Q10_Contact_Text message,Q10_Contact_In person,Q10_Contact_Mail,Q10_Contact_Online service,OSType,DeviceType,BrowserType,Q3_Own_Rent (Source: Profiling Questionnaire 2014),GENDER (Source: Profiling Questionnaire 2014),Q7_Children (Source: Profiling Questionnaire 2014),Q8_Born_Canada (Source: Profiling Questionnaire 2014),Q9a_Edmonton (Source: Profiling Questionnaire 2014),Q10_Own_Business (Source: Profiling Questionnaire 2014),Q11_Home_Language (Source: Profiling Questionnaire 2014),Q13_Volunteer (Source: Profiling Questionnaire 2014),Q14a_Primary_Transportation (Source: Profiling Questionnaire 2014),Q14b_Secondary_Transportation (Source: Profiling Questionnaire 2014),Q15_Household_Income (Source: Profiling Questionnaire 2014),Q16_Education (Source: Profiling Questionnaire 2014),Q17_City_Employee (Source: Profiling Questionnaire 2014),FSA (Source: Profiling Questionnaire 2014),Age_Rollup_Detailed (Source: Profiling Questionnaire 2014)
01/09/2018 11:50:00 PM,01/10/2018 12:09:00 AM,Yes,Residential property,I don't recall,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,1 Strongly disagree,3 Neither agree nor disagree,Doesn't apply,Doesn't apply,Doesn't apply,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,Yes,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,4 Somewhat agree,0,1,0,0,0,0,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Walk,"$150,000 and over",College / technical school graduate,No,T6C,50-54
01/13/2018 02:56:00 AM,01/13/2018 03:36:00 AM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,1 Strongly disagree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,2 Somewhat disagree,Yes,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,0,1,0,0,0,0,Windows,Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$80,000 to $99,999",University undergraduate degree,No,T5Y,45-49
01/09/2018 07:13:00 PM,01/09/2018 07:20:00 PM,Yes,Residential property,Within the last three years,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,,,Neutral,I don’t know,Yes,3 Neither agree nor disagree,2 Somewhat disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,2 Somewhat disagree,2 Somewhat disagree,2 Somewhat disagree,1 Strongly disagree,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,1,1,0,0,0,1,Windows,Desktop,Google Chrome,Own,Male,Yes,Yes,Greater than 5 years,No,English,No,Car/truck/Van as DRIVER,Walk,"$80,000 to $99,999",College / technical school graduate,No,T5T,35-39
01/09/2018 06:59:00 PM,01/09/2018 07:06:00 PM,Yes,Residential property,Within the last three years,4 Somewhat agree,5 Strongly agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,2 Somewhat disagree,4 Somewhat agree,4 Somewhat agree,Within 3 days,,Positive,311,Yes,3 Neither agree nor disagree,2 Somewhat disagree,2 Somewhat disagree,1 Strongly disagree,4 Somewhat agree,4 Somewhat agree,2 Somewhat disagree,2 Somewhat disagree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,No,,,,,1,0,0,0,0,0,Android,Phone,Google Chrome,Own,Male,No,Yes,Greater than 5 years,Yes,English,No,Car/truck/Van as DRIVER,Bicycle,"$150,000 and over","Professional school graduate (e.g. medicine, dentistry, veterinary medicine, optometry)",No,T6V,45-49
01/10/2018 05:13:00 AM,01/10/2018 05:29:00 AM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,2 Somewhat disagree,3 Neither agree nor disagree,2 Somewhat disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,2 Somewhat disagree,4 Somewhat agree,4 Somewhat agree,No,,,,,1,0,0,0,0,0,Windows,Desktop,Google Chrome,Rent,Male,No,Yes,Greater than 5 years,Yes,English,Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,"$150,000 and over",College / technical school graduate,No,T6J,70-74
01/09/2018 08:17:00 PM,01/09/2018 08:36:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,No,,,,,1,1,0,0,0,1,Mac (OS X),Desktop,Safari,Own,Male,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Bicycle,Prefer not to answer,University undergraduate degree,No,T5W,70-74
01/09/2018 08:02:00 PM,01/09/2018 08:13:00 PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iOS,Phone,Safari,Rent,Male,Yes,Yes,Greater than 5 years,No,English,No,Car/truck/Van as DRIVER,Public Transit,"$30,000 to $39,999",College / technical school graduate,No,T5C,35-39
01/12/2018 05:08:00 PM,01/12/2018 05:26:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,Doesn't apply,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,Doesn't apply,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,No,,,,,0,0,0,0,0,1,Windows,Desktop,Google Chrome,Own,Male,Yes,Yes,Greater than 5 years,No,English,Yes,Other (Specify),Walk,"$100,000 to $149,000","Professional school graduate (e.g. medicine, dentistry, veterinary medicine, optometry)",No,T6J,55-59
01/09/2018 10:53:00 PM,01/09/2018 10:59:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,4 Somewhat agree,4 Somewhat agree,5 Strongly agree,3 Neither agree nor disagree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,No,,,,,0,1,0,0,0,0,Windows,Desktop,Google Chrome,Own,Male,Yes,No,Greater than 5 years,No,Other (Specify),No,Car/truck/Van as DRIVER,Only have one mode of transportation,"$150,000 and over",Post-graduate degree,Prefer not to say,T5R,45-49
01/09/2018 07:27:00 PM,01/09/2018 07:39:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,3 Neither agree nor disagree,2 Somewhat disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,No,,,,,0,1,0,0,0,0,Windows,Desktop,Google Chrome,Own,Male,Yes,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Walk,"$150,000 and over",Post-graduate degree,No,T6H,50-54
